Node,Cluster_ID
351,8
352,8
335,8
330,8
398,8
349,8
332,8
345,8
362,8
385,8
387,8
334,8
327,8
355,8
358,8
339,8
338,8
341,8
342,8
343,8
344,8
392,8
353,8
364,8
361,8
319,8
264,8
357,8
309,8
368,8
275,8
317,8
366,8
333,8
312,8
318,8
296,8
281,8
307,8
314,8
402,8
419,8
482,8
691,8
433,8
504,8
429,8
498,8
686,8
411,8
643,8
521,8
672,8
418,8
425,8
669,8
442,8
520,8
707,8
422,8
421,8
432,8
465,8
408,8
410,8
412,8
428,8
416,8
650,8
671,8
434,8
651,8
424,8
403,8
453,8
475,8
833,8
839,8
844,8
881,8
883,8
146,9
149,9
151,9
168,9
179,9
175,9
169,9
172,9
184,9
166,9
174,9
159,9
156,9
153,9
196,9
204,9
161,9
148,9
152,9
173,9
191,9
158,9
162,9
147,9
164,9
186,9
194,9
183,9
167,9
170,9
155,9
171,9
163,9
150,9
177,9
195,9
189,9
181,9
190,9
205,9
157,9
176,9
203,9
213,10
215,10
222,10
285,10
329,10
328,10
400,10
377,10
380,10
260,10
280,10
305,10
237,10
240,10
293,10
401,10
491,10
682,10
769,10
708,10
492,10
765,10
458,10
652,10
732,10
680,10
681,10
800,10
846,10
862,10
242,11
347,11
252,11
537,11
622,11
587,11
605,11
554,11
577,11
611,11
552,11
541,11
559,11
569,11
601,11
596,11
602,11
619,11
598,11
566,11
718,11
294,12
389,12
394,12
397,12
393,12
404,12
414,12
570,12
572,12
738,12
782,12
575,12
578,12
761,12
794,12
503,12
771,12
509,12
700,12
688,12
728,12
679,12
698,12
426,12
747,12
694,12
431,12
443,12
763,12
802,12
808,12
809,12
824,12
828,12
816,12
812,12
873,12
313,13
374,13
379,13
382,13
375,13
371,13
325,13
365,13
440,13
471,13
484,13
629,13
630,13
632,13
486,13
485,13
488,13
502,13
655,13
649,13
647,13
710,13
603,13
501,13
687,13
684,13
517,13
798,13
814,13
346,13
395,13
405,14
409,14
448,14
737,14
415,14
420,14
439,14
413,14
772,14
701,14
751,14
725,14
799,14
654,14
750,14
644,14
427,15
528,15
529,15
530,15
535,15
563,15
564,15
542,15
612,15
642,15
621,15
580,15
546,15
752,15
628,15
639,15
648,15
435,16
445,16
494,16
675,16
724,16
733,16
670,16
658,16
678,16
589,16
662,16
592,16
591,16
595,16
515,16
524,16
532,16
740,16
789,16
633,16
533,16
497,16
606,16
856,16
871,16
476,17
511,17
539,17
558,17
551,17
586,17
778,17
560,17
780,17
731,17
727,17
797,17
536,17
788,17
786,17
576,17
624,17
610,17
548,17
755,17
696,17
764,17
762,17
776,17
618,17
609,17
583,17
594,17
561,17
689,17
774,17
781,17
656,17
736,17
636,17
767,17
743,17
787,17
555,17
777,17
766,17
749,17
758,17
773,17
739,17
556,17
745,17
784,17
785,17
574,17
803,17
830,17
842,17
864,17
890,17
877,17
869,17
841,17
874,17
866,17
859,17
892,17
885,17
868,17
845,17
837,17
843,17
870,17
878,17
860,17
872,17
852,17
863,17
855,17
861,17
831,17
832,17
847,17
848,17
853,17
882,17
886,17
893,17
857,17
854,17
884,17
840,17
875,17
836,17
835,17
876,17
858,17
880,17
888,17
